" ""Storm Surge""","""Storm Surge/Tide""",,
" ""Wild/Forest Fire""","""Wildfire""",,"Astronomical Low Tide, ""Avalanche"", ""Blizzard"", ""Coastal Flood"", ""Cold/Wind Chill"", "
" ""Landslide""","""Flash Flood""",,"Debris Flow, ""Dense Fog"", ""Dense Smoke"", ""Drought"", ""Dust Devil"",""Dust Storm"",""Excessive Heat"", "
" ""River Flooding""","""Flood""",,"Extreme Cold/Wind Chill, ""Flash Flood"", "
" ""Coastal Flooding""","""Storm Surge/Tide""",,"Flood, ""Frost/Freeze"", ""Funnel Cloud"", ""Freezing Fog"", ""Hail"", ""Heat"", ""Heavy Rain"", ""Heavy Snow"", "
" ""Urban/Sml Stream Fld""","""Flood""",,"High Surf, ""High Wind"", ""Hurricane (Typhoon)"", ""Ice Storm"", ""Lake-Effect Snow"", ""Lakeshore Flood"", "
" ""River Flood""","""Flood""",,"Lightning, ""Marine Hail"", ""Marine High Wind"", ""Marine Strong Wind"", ""Marine Thunderstorm Wind"", "
" ""Coastal Flooding/Erosion""","""Storm Surge/Tide""",,"Rip Current, ""Seiche"", ""Sleet"", ""Storm Surge/Tide"", ""Strong Wind"", ""Thunderstorm Wind"", "
" ""Extreme Cold""","""Extreme Cold/Wind Chill""",,"Tornado, ""Tropical Depression"", ""Tropical Storm"", ""Tsunami"", ""Volcanic Ash"", ""Waterspout"", "
" ""Erosion/Cstl Flood""","""Storm Surge/Tide""",,"Wildfire, ""Winter Storm"", ""Winter Weather"")"
" ""Coastal  Flooding/Erosion""","""Storm Surge/Tide""",,
" ""Heavy Rain/High Surf""","""Heavy Rain""",,
" ""Fog""","""Freezing Fog""",,
" ""Heavy Surf/High Surf""","""Storm Surge/Tide""",,
" ""Astronomical High Tide""",,,
" ""Damaging Freeze""","""Extreme Cold/Wind Chill""",,
" ""Winter Weather/Mix""","""Winter Weather""",,
" ""Coastal Flooding""","""Storm Surge/Tide""",,
" ""Dry Microburst""","""Thunderstorm Wind""",,
" ""Heavy Surf""","""Storm Surge/Tide""",,
" ""Mudslide""","""Flash Flood""",,
" ""Dam Break""","""Flood""",,
" ""Coastal Erosion""","""Storm Surge/Tide""",,
" ""Freezing Rain""","""Sleet""",,
" ""Landslump""","""Flash Flood""",,
" ""Mixed Precipitation""","""Winter Weather""",,
" ""Cold""","""Cold/WindChill""",,
